V 1468
l 437 [] -9.7290,17.0100 -9.9030,17.1960 -10.1700,17.4230 -10.1880,17.4020 -10.0270,16.8100
l 438 [1375] 7.7230,16.1570 7.8380,16.4640 7.5240,16.6540 7.2550,16.2530
l 438 [1422, 2667] 7.7710,17.4800 7.2340,17.4230 6.7000,17.3260 6.8900,16.9360 7.0840,16.5480
l 438 [1700] 8.8110,16.6210 8.8480,17.0440 8.8520,17.4710 8.3100,17.4960 8.0830,17.4890
l 438 [] 8.0590,15.7870 8.3470,15.7890 8.6350,15.7890 8.6770,15.9560
l 438 [] 7.7710,15.7830 8.0220,15.7860 8.1950,16.2480
l 438 [] 7.4830,15.7780 7.5820,15.7800 7.7230,16.1570 7.2550,16.2530 7.2440,16.2370 7.2820,16.1620
l 438 [] 8.7400,16.2030 8.7810,16.4430 7.7850,17.0450
l 439 [1486] -4.0700,-20.9350 -3.7740,-21.6280 -3.4240,-21.2820 -3.2740,-21.1110 -3.6260,-20.6980
l 439 [1598] -3.2740,-21.1110 -3.1010,-20.9140 -2.8030,-20.5250 -2.5320,-20.1150 -3.6260,-20.6980
l 439 [1887] -4.6640,-19.5500 -4.4170,-20.1260 -3.7500,-19.8090 -3.9070,-19.3140
l 439 [2419] -3.7500,-19.8090 -2.9980,-19.4510 -3.0130,-19.4320 -3.2910,-19.1220 -3.9070,-19.3140
l 439 [] -3.5930,-18.8310 -3.9360,-18.8040 -4.2780,-18.7990 -4.6200,-18.8170 -4.9620,-18.8580 -4.6860,-19.5000 -3.4900,-18.9310
l 439 [] -4.3670,-20.2420 -4.1260,-20.8050 -3.3480,-20.4360 -3.5170,-19.9890
l 439 [] -3.3480,-20.4360 -2.5660,-20.0630 -2.7600,-19.7640 -3.5170,-19.9890
l 440 [1316, 1361] -5.9820,-21.3610 -5.9950,-21.8600 -5.4430,-21.7720 -5.3210,-21.7570 -5.4000,-21.2310
l 440 [1331, 1339] -6.1570,-20.4000 -6.0360,-20.8740 -6.0140,-21.0730 -4.2470,-20.5230 -4.3670,-20.2420
l 440 [] -4.8890,-21.7040 -4.6380,-21.6820 -4.7280,-21.0820
l 440 [] -4.3320,-21.6560 -3.7740,-21.6280 -4.0700,-20.9350
l 440 [] -5.6180,-19.4440 -5.9730,-19.7030 -6.3460,-19.9380 -6.1970,-20.3020
l 440 [] -5.2300,-20.0010 -4.5600,-19.7930 -4.6640,-19.5500
l 440 [] -5.2810,-19.1630 -5.5250,-19.3660 -5.3600,-19.7210
l 440 [] -4.9620,-18.8580 -5.2270,-19.1110 -4.8970,-19.4460 -4.7470,-19.3570
l 441 [1852] 24.4330,1.5720 24.7840,1.4470 25.1250,1.2900 25.3180,1.5620 25.3610,1.6170 24.9120,2.0900
l 441 [1864, 2617] 23.7410,3.4320 23.6680,3.0070 23.6460,2.6990 24.1280,2.5150 24.4860,3.1650 24.3370,3.2310
l 441 [2133, 2213] 23.7030,1.7280 24.0730,1.6660 24.3200,1.6020 25.0380,2.9050 24.9080,2.9780
l 441 [] 25.5240,1.8250 25.7420,2.0770 25.9720,2.3190 25.4530,2.6740
l 441 [] 23.6460,2.6990 23.6370,2.5820 23.6490,2.1550 23.7010,1.7410 24.1280,2.5150
l 442 [1206, 1244, 1287, 1335] 21.6150,2.5770 22.1950,2.6710 22.2910,2.7010 22.2990,3.4090 21.5020,3.2620 21.5370,2.9350
l 442 [] 22.7420,2.8450 22.7850,2.8660 22.7930,3.5700 22.6080,3.6090
l 442 [] 23.2580,3.0990 23.7410,3.4320 23.1670,3.4910
l 442 [] 22.3020,3.7090 22.0650,3.7860 21.5380,4.0220 21.4990,3.6580 21.4990,3.2950
l 443 [1443] 23.4790,5.0230 23.5660,4.3920 24.0910,4.3540 23.9980,5.0920
l 443 [1575] 23.3870,6.6320 23.3960,6.3580 23.7760,6.2150 23.7980,6.6350
l 443 [1915] 24.0910,4.3540 24.6790,4.3110 24.6180,4.7980 24.0520,4.6680
l 443 [2007] 24.6180,4.7980 24.5710,5.1690 23.9980,5.0920 24.0520,4.6680
l 443 [] 23.5890,4.2250 23.7410,3.4320 24.2050,3.9080
l 443 [] 24.7160,4.3080 24.7180,4.3100 25.2820,4.6390 25.8950,4.8950 25.6170,5.3090
l 443 [] 23.4120,5.8250 23.4340,5.5560 24.0960,5.5080
l 443 [] 25.5680,5.4010 25.3830,5.7450 25.1920,6.2010 25.0460,6.6780 24.6310,6.6580
l 443 [] 24.1870,6.0620 24.2830,6.6460 24.2170,6.6440 23.8020,6.6350
l 444 [1436] 27.1600,-0.6880 27.9070,-0.8710 27.7160,-0.3610 27.5400,0.1530
l 444 [1734] 24.8720,-0.0770 24.8740,-0.5450 25.3600,-0.5320 25.3820,-0.0330
l 444 [1819] 25.5240,1.8250 25.3180,1.5620 25.1250,1.2900 25.0780,1.1240 25.7940,1.0180 25.6020,1.8330
l 444 [1820] 26.5920,1.7270 26.5460,1.9250 25.6020,1.8330 25.6920,1.4530
l 444 [1845] 28.4120,3.5830 27.9690,3.5510 27.8430,3.5380 27.7570,2.9860 28.2660,2.6490
l 444 [2022] 23.7410,3.4320 24.3370,3.2310 24.5290,3.1460 24.7090,4.3030 24.2050,3.9080
l 444 [2214] 24.9540,0.6030 24.9130,0.3840 24.8920,0.1470 25.9640,0.3000 25.9260,0.4600
l 444 [2298] 25.9640,0.3000 26.8980,0.4330 26.7860,0.9070 25.8850,0.6330
l 444 [2352] 25.0780,1.1240 24.9980,0.8400 24.9540,0.6030 25.9260,0.4600 25.7940,1.0180
l 444 [2526] 26.7860,0.9070 26.7020,1.2640 25.8010,0.9900 25.8850,0.6330
l 444 [2671] 26.7020,1.2640 26.5920,1.7270 25.6920,1.4530 25.8010,0.9900
l 444 [2735] 25.9720,2.3190 25.7420,2.0770 25.6850,2.0110 26.6840,2.1540 26.8280,3.0790 25.9470,3.1520
l 444 [2792, 3165] 24.9080,2.9780 25.4530,2.6740 25.5170,2.6300 25.7370,4.0390 24.7510,4.0810
l 444 [] 26.4050,-0.5730 26.7640,-0.6280 26.7940,0.0890
l 444 [] 25.6430,-0.5250 25.8120,-0.5360 25.8350,0.0060
l 444 [] 27.4300,0.5090 27.3800,0.6730 27.2350,1.1980 27.6000,1.4800 27.9500,1.7800 28.2840,2.0960
l 444 [] 28.6010,2.4280 28.6030,2.4300 28.5620,2.7190 28.5190,3.0080 28.4720,3.2960 28.4230,3.5840 28.4120,3.5830 28.2660,2.6490
l 444 [] 27.8430,3.5380 27.5170,3.5040 27.0660,3.4430 27.7570,2.9860
l 444 [] 26.8800,3.4120 26.6170,3.3680 26.5220,3.7900 26.3710,4.1860 26.1610,4.5540 25.8950,4.8950
l 444 [] 25.8690,4.8840 25.2820,4.6390 24.7180,4.3100
l 445 [1530] -7.1390,17.2290 -7.3370,16.7040 -7.5510,16.1840 -7.0970,16.2260 -6.6430,16.2390 -6.1900,16.2230
l 445 [1601] -5.7360,16.1790 -5.4400,16.4350 -5.1890,16.7240 -4.9850,17.0480 -4.9590,17.1070 -6.0770,16.5300 -5.9480,16.2000
l 445 [1784] -4.9590,17.1070 -4.8270,17.4060 -5.2770,17.7180 -5.3790,17.7720 -5.7560,17.5780 -5.3830,16.8880
l 445 [2202] -6.0680,17.4170 -6.3620,17.2650 -6.0770,16.5300 -5.6950,16.7270
l 445 [] -5.7560,17.5780 -6.0680,17.4170 -5.6950,16.7270 -5.3830,16.8880
l 445 [] -5.3790,17.7720 -5.7550,17.9710 -5.9790,18.0570 -6.5540,17.7600 -6.3620,17.2650
l 445 [] -6.7910,18.2970 -6.9570,17.7600 -7.0710,17.4260 -6.5350,17.4120
l 445 [] -5.9790,18.0570 -6.2590,18.1640 -6.7600,18.2890 -6.5540,17.7600
l 446 [2482] -4.8270,17.4060 -4.3630,17.4670 -4.2090,17.5010 -4.2770,18.0460 -4.8270,17.8180
l 446 [2483] -4.2090,17.5010 -3.9100,17.5680 -3.8060,17.6010 -4.0830,18.1260 -4.2770,18.0460
l 446 [3081] -2.8860,19.4190 -2.8090,19.9250 -3.3480,20.1170 -3.5130,19.3120
l 446 [4390] -3.9610,20.3330 -4.5370,20.5370 -5.1130,20.7390 -4.9700,19.9120 -4.8740,19.0810
l 446 [4712] -4.0830,18.1260 -4.2570,18.4580 -4.8270,18.2220 -4.8270,17.8180
l 446 [] -3.3480,20.1170 -3.3850,20.1300 -3.8550,20.2960 -4.0760,19.2170 -3.5130,19.3120
l 446 [] -3.4680,17.7100 -3.0370,17.8920 -3.0000,18.4030 -2.9500,18.9120 -2.9070,19.2520
l 446 [] -4.5490,19.0120 -4.8670,18.9650 -4.8270,18.2450
l 447 [2093] -5.7550,17.9710 -5.2770,17.7180 -4.8270,17.4060 -4.8270,18.2450
l 447 [2115] -7.7990,20.4450 -7.7920,19.9420 -7.8400,19.4410 -7.9420,18.9430 -7.6370,18.8130 -7.3430,18.6620
l 447 [2119] -4.9700,19.9120 -4.9840,19.9930 -5.4070,20.2310 -5.6040,19.7880 -5.4110,19.6800
l 447 [2182] -4.9840,19.9930 -5.1130,20.7390 -5.1940,20.8020 -5.6770,20.3820
l 447 [2252] -6.9580,21.3820 -7.1400,21.3300 -7.5100,21.1660 -7.8600,20.9500 -7.8400,20.7840 -7.4450,20.3110
l 447 [2332] -5.8670,21.2570 -6.0160,21.3420 -6.3440,21.4980 -6.7520,21.4400 -6.9580,21.3820 -7.0130,21.2620 -6.0460,20.8620
l 447 [2402] -7.3360,20.1790 -6.7030,19.4210 -6.5120,19.8390
l 447 [] -5.4070,20.2310 -6.1450,20.6460 -6.3460,20.2050 -5.6040,19.7880
l 447 [] -7.2550,20.7300 -7.4450,20.3110 -7.3360,20.1790 -6.5120,19.8390 -6.2890,20.3300
l 447 [] -6.6760,20.4900 -6.2890,20.3300 -6.0460,20.8620 -6.4610,21.0330
l 447 [] -5.1940,20.8020 -5.4000,20.9620 -5.7010,21.1630 -5.8670,21.2570 -6.1450,20.6460 -5.6770,20.3820
l 447 [] -7.0130,21.2620 -7.2550,20.7300 -6.6760,20.4900 -6.4610,21.0330
l 447 [] -6.5120,19.8390 -6.7030,19.4210 -6.4580,19.1280 -5.8330,19.4570
l 447 [] -6.3460,20.2050 -6.5120,19.8390 -5.8330,19.4570 -5.4110,19.6800
l 447 [] -6.2590,18.1640 -6.1510,18.1230 -6.0400,18.1720 -6.4040,19.0740
l 447 [] -6.7910,18.2970 -6.5950,18.2480 -6.8480,18.8750 -7.3360,18.6580 -7.0610,18.4900
l 447 [] -4.8530,18.7020 -4.8740,19.0810 -4.9480,19.7230
l 448 [1189] -13.8040,-16.7520 -13.8380,-16.4470 -13.8550,-16.1420 -13.8530,-15.8360 -13.8530,-15.8280 -14.3860,-15.8320 -14.1420,-16.8260
l 448 [1296] -14.8320,-14.9840 -15.3670,-14.9880 -15.5100,-15.5660 -14.8160,-15.5510
l 448 [1328] -14.2300,-14.9800 -14.4150,-14.7460 -14.7390,-14.3830 -15.0850,-14.0380 -15.3200,-14.7970 -15.3670,-14.9880
l 448 [1346] -15.2520,-17.0460 -14.7770,-16.9580 -15.5410,-15.8680
l 448 [] -13.8340,-15.5300 -14.1130,-15.1290 -14.2300,-14.9800 -14.8320,-14.9840 -14.8160,-15.5510
l 448 [] -15.5610,-15.8390 -15.6560,-16.3440 -15.7570,-17.1320 -15.2660,-17.0490 -15.2520,-17.0460 -15.5410,-15.8680
l 448 [] -14.9580,-15.8350 -14.6870,-16.9400 -14.2900,-16.8590
l 449 [1629, 1641] -14.8020,-18.4320 -14.6430,-18.7080 -14.3730,-19.2980 -14.0290,-19.0000 -13.6910,-18.6960
l 449 [1633, 1636] -13.6220,-17.0880 -13.8040,-16.7520 -14.2900,-16.8590 -14.5860,-16.9190 -15.3050,-17.6670 -14.9640,-18.1500
l 449 [] -14.2510,-17.8590 -13.4810,-18.5010 -13.3580,-18.3860
l 449 [] -13.0310,-18.0700 -13.2360,-17.7470 -13.3520,-17.5550 -13.6110,-17.7710 -13.1340,-18.1690
l 449 [] -13.4330,-17.4200 -13.5800,-17.1620 -13.9190,-17.5150
l 449 [] -14.7770,-16.9580 -15.2660,-17.0490 -15.7570,-17.1320 -15.3350,-17.6250
l 450 [1356] -19.1820,-7.3750 -19.9100,-7.8710 -19.8320,-7.9380 -19.3780,-8.2790 -18.9060,-7.7240
l 450 [1360] -20.2690,-6.6720 -20.2690,-6.6720 -20.6750,-7.1760 -20.2640,-7.5700 -19.7840,-7.1750
l 450 [1362] -19.9680,-6.3540 -20.2690,-6.6720 -19.7840,-7.1750 -19.4460,-6.8960
l 450 [1389] -18.2550,-6.9580 -18.3230,-6.7900 -19.1820,-7.3750 -18.9060,-7.7240
l 450 [] -19.7140,-6.1020 -19.8270,-6.2040 -19.9680,-6.3540 -19.4460,-6.8960 -19.1690,-6.6690
l 450 [] -19.2370,-5.6830 -19.3510,-5.7720 -19.7140,-6.1020 -19.1690,-6.6690 -18.6780,-6.2640
l 450 [] -19.1250,-8.4470 -18.9030,-8.5940 -18.5360,-8.6360
l 450 [] -18.4940,-8.0170 -18.2210,-8.6280 -18.1750,-8.6270
l 450 [] -17.4670,-8.4510 -17.7390,-7.9740 -18.0420,-8.0820 -17.8260,-8.5660 -17.8180,-8.5650
l 450 [] -17.8860,-7.7160 -17.9270,-7.6310 -18.1700,-7.7970
l 450 [] -18.5730,-6.1780 -18.8400,-5.3750 -19.2370,-5.6830 -18.6780,-6.2640
l 451 [1405] -18.2970,-10.1710 -18.4670,-10.4910 -18.2660,-10.6250 -17.7940,-10.8840 -17.4970,-10.6870 -17.3790,-10.5810
l 451 [1406] -17.7640,-10.4090 -17.3790,-10.5810 -17.2370,-10.4540 -17.0150,-10.1850 -16.9870,-10.1390 -17.5830,-9.8720
l 451 [1411] -16.8310,-9.8800 -16.9100,-9.4870 -16.9820,-9.2850 -17.1140,-9.2260 -17.4800,-9.9180 -16.9870,-10.1390
l 451 [1426] -19.0390,-8.8620 -19.1870,-9.1230 -19.3470,-9.3780 -19.5180,-9.6250 -19.1280,-9.9960 -18.7100,-10.3290
l 451 [] -18.0320,-9.6710 -18.2970,-10.1710 -17.7640,-10.4090 -17.5830,-9.8720
l 451 [] -17.1140,-9.2260 -17.6660,-8.9800 -18.0320,-9.6710 -17.4800,-9.9180
l 451 [] -18.1750,-8.6270 -18.5360,-8.6360 -18.9030,-8.5940 -19.0180,-8.8210 -18.2220,-9.5920
l 451 [] -16.9820,-9.2850 -17.0420,-9.1180 -17.2280,-8.7720 -17.4190,-8.5150 -17.6660,-8.9800
l 451 [] -17.4670,-8.4510 -17.8180,-8.5650 -18.0810,-8.6110 -17.7710,-8.9100
l 452 [1397] -20.9980,-5.5080 -21.8430,-5.6810 -21.8550,-5.7540 -21.4870,-6.0490 -20.9310,-5.7620
l 452 [1418] -20.2690,-6.6720 -19.8270,-6.2040 -19.3510,-5.7720 -18.8400,-5.3750 -19.4940,-5.1000
l 452 [1447] -21.1800,-4.6060 -21.5360,-4.5310 -21.6420,-4.8300 -21.7310,-5.1330 -21.8020,-5.4410 -21.1000,-5.2430
l 452 [1452] -19.9850,-4.9280 -20.1610,-4.8670 -20.8420,-4.6780 -21.1800,-4.6060 -21.1000,-5.2430
l 452 [] -20.6750,-7.1760 -20.4190,-6.8580 -20.3630,-6.6080 -20.9240,-6.7230 -20.8970,-6.7600
l 452 [] -20.2270,-6.0050 -21.3170,-6.2280 -21.1680,-6.3840
l 452 [] -20.0730,-5.3190 -20.9980,-5.5080 -20.9310,-5.7620
l 453 [2108] -18.8530,9.7320 -18.8560,9.3600 -18.8460,8.9890 -18.8260,8.6180 -18.4400,8.4800 -18.0540,8.3400
l 453 [2117] -18.6050,10.2780 -18.8400,10.1030 -18.8520,9.7610 -18.2500,9.6140 -18.1140,10.1580
l 453 [2658] -17.5620,10.7420 -17.9100,10.6380 -18.2380,10.4970 -18.5490,10.3190 -18.6050,10.2780 -17.7020,10.0580
l 453 [3391] -17.2840,8.0560 -16.8210,8.2310 -16.7310,8.2740 -16.5490,9.5930 -17.5620,9.7180 -17.7660,8.2350 -17.6690,8.1990
l 453 [3915] -18.2500,9.6140 -17.8150,9.5080 -17.7020,10.0580 -18.1140,10.1580
l 453 [] -16.3770,8.4410 -16.0550,8.6280 -16.1870,8.9220 -16.3840,8.8890
l 453 [] -16.0550,8.6280 -15.9510,8.6880 -15.5450,8.9700 -15.5930,9.0210 -16.1870,8.9220
l 453 [] -15.8390,9.2850 -16.0740,9.6210 -16.3950,9.5670
l 453 [] -16.0810,9.6310 -16.2710,10.0080 -16.4080,10.4160
l 453 [] -16.4360,10.4180 -16.7130,10.4380 -17.0070,10.4990 -17.2900,10.6010 -17.4310,10.6740
l 454 [1227, 1263] 17.8290,-15.8260 18.9510,-16.2760 19.0670,-15.8960 18.9280,-15.7360
l 454 [1234, 1241] 17.8180,-15.8520 17.5940,-16.3640 17.5910,-16.3710 18.5370,-16.7510 18.8180,-16.7150
l 454 [] 17.3590,-16.8720 17.9470,-16.8170 18.5340,-16.7510
l 454 [] 19.1200,-16.6760 19.7050,-16.5910 19.3060,-16.1720
l 454 [] 18.2340,-14.8130 18.0320,-15.3350 18.0180,-15.3680 18.9240,-15.7310 18.5710,-15.2830
l 455 [1213] 19.3060,-16.1720 19.7050,-16.5910 20.1390,-16.3770 20.2780,-16.2900 19.6510,-15.6950
l 455 [1214] 20.2780,-16.2900 20.5460,-16.1240 20.7180,-15.9920 20.2560,-15.5540 19.9120,-15.9420
l 455 [1221] 19.0130,-14.3020 18.6370,-14.5750 18.4020,-14.7140 19.0050,-15.2210
l 455 [1226] 20.2560,-15.5540 19.9580,-15.2710 19.6510,-15.6950 19.9120,-15.9420
l 455 [] 18.2340,-14.8130 18.5710,-15.2830 18.9280,-15.7360 19.0000,-15.8190
l 455 [] 20.9260,-15.8330 21.2790,-15.5020 20.8370,-15.0770 20.4240,-14.6270
l 455 [] 19.8770,-14.9150 20.3020,-14.4770 20.0390,-14.1530
l 455 [] 19.3610,-13.9960 19.0790,-14.2440 19.5640,-14.6520
l 455 [] 19.6820,-13.6550 19.4090,-13.9460 19.8570,-14.3330 20.0310,-14.1420
l 456 [1294] 20.3800,-18.4220 20.5930,-18.5250 20.8340,-18.0320 20.6260,-17.8050 20.5120,-17.8030
l 456 [1322, 2566] 19.7050,-16.5910 19.6240,-16.6030 19.3680,-17.1260 20.5370,-17.6950 20.1480,-17.2130
l 456 [1347, 2589] 19.9690,-18.2220 20.3800,-18.4220 20.5120,-17.8030 20.0610,-17.7940
l 456 [1354, 2707] 19.0510,-17.7750 19.9690,-18.2220 20.0610,-17.7940
l 456 [2540, 2563] 19.1200,-16.6760 18.5340,-16.7510 18.4680,-16.7580 18.1410,-17.4260 18.6640,-17.6610
l 456 [] 18.5320,-18.8340 18.5680,-18.9210 19.3480,-18.9070 20.1290,-18.8980 20.4110,-18.8970
l 456 [] 20.9090,-18.8940 21.6900,-18.8960 21.1400,-18.3660
l 456 [] 17.9900,-17.7350 18.0590,-17.8400 18.3380,-18.3660
l 456 [] 17.9470,-16.8170 17.3590,-16.8720 17.7330,-17.3420
l 457 [1938] 15.8530,-19.5150 16.1130,-19.9110 16.7820,-19.8020 16.4090,-19.1580
l 457 [1940] 16.8770,-18.9110 16.6990,-18.9920 16.9760,-19.7400 17.3370,-19.6250
l 457 [2018] 15.6020,-19.1070 15.8500,-19.5100 15.8530,-19.5150 16.4090,-19.1580 16.1690,-18.7430
l 457 [2029] 15.3460,-18.6600 15.3600,-18.6870 15.5990,-19.1020 15.6020,-19.1070 16.1690,-18.7430 15.9110,-18.2970
l 457 [2066] 18.5680,-18.9210 18.3380,-18.3660 18.2880,-18.2720 17.8820,-18.4560 18.3010,-19.1050
l 457 [] 15.7160,-17.9600 15.1320,-18.2650 15.3460,-18.6600 15.9110,-18.2970
l 457 [] 18.2880,-18.2720 18.0590,-17.8400 18.0170,-17.7760 17.6170,-17.9570 17.8770,-18.4580
l 457 [] 17.7330,-17.3420 17.3590,-16.8720 16.8290,-17.2630 16.2810,-17.6260 16.2090,-17.6680
l 457 [] 17.3060,-18.7170 16.8770,-18.9110 17.3370,-19.6250 17.4150,-19.6000 17.7650,-19.4280
l 457 [] 17.8820,-18.4560 17.3060,-18.7170 17.7650,-19.4280 18.0100,-19.3070 18.3010,-19.1050
l 457 [] 17.0740,-18.2040 16.5030,-18.4620 16.6990,-18.9920 17.3340,-18.7040
l 457 [] 17.6170,-17.9570 17.0740,-18.2040 17.3340,-18.7040 17.8770,-18.4580
l 458 [1343] 11.3790,18.3440 11.7330,18.0700 11.8180,18.0140 12.0690,18.6480 11.4310,18.5600
l 458 [1377] 13.5380,18.2190 13.9120,18.5580 14.3240,18.8600 13.6980,19.0790 13.0710,19.2980
l 458 [1414] 12.0030,19.6730 11.8190,19.7380 11.6840,19.3970 11.5660,19.0520 11.4640,18.7000 11.4310,18.5600 12.2450,18.6720
l 458 [1448] 12.2770,17.7320 12.4940,17.6120 12.6490,17.5420 12.8430,18.7540 12.6730,18.7310
l 458 [] 11.8180,18.0140 12.1050,17.8270 12.2770,17.7320 12.6730,18.7310 12.0690,18.6480
l 458 [] 12.8430,18.7540 12.9380,19.3450 12.6950,19.4300 12.1430,19.0940 12.2450,18.6720
l 458 [] 12.9020,17.4280 13.2010,17.8420 13.4060,18.0710 12.9800,18.2880
l 458 [] 12.6950,19.4300 12.4450,19.5180 12.0030,19.6730 12.1430,19.0940
l 459 [1644] 1.1650,-23.3750 1.3900,-23.8040 1.8560,-23.6850 2.1450,-23.6380 2.0770,-23.1370
l 459 [1686] 2.3260,-23.6090 2.8020,-23.5770 3.2820,-23.5890 2.9260,-22.9150
l 459 [1810] 2.0960,-20.7910 1.7600,-21.0640 1.6990,-21.1190 2.0480,-21.6260 2.3180,-21.4710
l 459 [1935] 1.4140,-23.2350 1.8040,-23.1020 1.6330,-22.3600 1.2260,-22.4170
l 459 [2144] 1.8040,-23.1020 2.2180,-22.9610 2.0660,-22.3000 1.6330,-22.3600
l 459 [] 2.2180,-22.9610 2.8480,-22.7460 2.6090,-22.2240 2.0660,-22.3000
l 459 [] 0.8920,-22.4630 0.9990,-22.9280 1.1470,-23.3260 1.4140,-23.2350 1.2260,-22.4170
l 459 [] 1.1340,-21.6590 0.8450,-21.9810 0.8910,-22.4510
l 459 [] 2.2880,-21.9740 2.4850,-21.9070 2.3330,-21.5160
l 459 [] 1.4390,-21.3530 1.3690,-21.4240 1.8510,-22.1230
l 460 [3248, 3601, 3870] 19.6820,-13.6550 20.0390,-14.1530 20.4240,-14.6270 20.8260,-15.0650 20.4220,-13.5470 20.2410,-13.5840
l 460 [3541, 3606] 21.7900,-14.8650 21.6260,-14.2500 21.3890,-14.2730 21.2530,-14.5700
l 460 [] 20.8370,-15.0770 21.2790,-15.5020 21.6470,-15.0300 21.7180,-14.9480 20.8360,-15.0340
l 460 [] 21.3890,-14.2730 20.8150,-14.3290 21.2530,-14.5700
l 460 [] 22.0380,-14.5790 22.4520,-14.1490 22.4960,-14.1080 21.9860,-14.1620
l 460 [] 22.8890,-13.7400 22.8580,-13.7230 21.9440,-13.8210
l 460 [] 21.3720,-13.2980 21.3280,-13.3150 20.7900,-13.4710
l 460 [] 22.6230,-13.5980 22.3620,-13.4460 22.1060,-13.2860 21.8560,-13.1160
l 461 [1504, 1592] 19.9650,-12.7240 19.8500,-13.1950 19.6820,-13.6550 20.2410,-13.5840 20.7900,-13.4710 21.3280,-13.3150
l 461 [1512, 1672] 20.0310,-11.7540 20.0250,-12.2440 20.0080,-12.3770 20.3120,-12.4990 20.6610,-12.0460 20.2430,-11.6450
l 461 [] 21.8520,-13.1180 21.8560,-13.1160 21.6220,-12.6900 21.4560,-12.2450
l 461 [] 20.9360,-12.7490 21.4280,-12.1120 21.3580,-11.7800 21.3290,-11.2950
l 461 [] 21.2250,-11.3160 20.9890,-11.3650 20.6590,-11.4650 20.3400,-11.5950
l 462 [1236, 1270, 1319, 1348] 20.2410,8.0990 20.1400,7.7180 20.0330,7.3400 20.3720,7.4410 20.7070,7.5540 21.0370,7.6780 21.3630,7.8150
l 462 [] 21.1800,8.0340 21.1370,8.0850 20.9050,8.3500
l 462 [] 20.4220,8.8640 20.3350,8.4800 20.2800,8.2580 20.6170,8.1740 20.8050,8.4590 20.6660,8.6100
l 463 [1285] -0.1920,-20.6180 -0.4480,-20.3220 -0.7170,-20.0400 -0.9060,-19.8630 -1.1490,-20.3090 -0.4460,-20.7960
l 463 [] -1.0010,-19.7730 -1.2990,-19.5200 -1.5870,-19.7110 -1.8880,-19.8740 -2.0820,-19.9570 -1.3330,-20.4600
l 463 [] -1.6500,-21.2280 -1.4620,-21.5780 -1.1530,-21.3270
l 463 [] -1.4110,-20.7900 -0.9080,-21.1370 -0.8380,-21.0830 -0.5180,-20.8470
l 463 [] -2.2030,-20.0090 -2.5320,-20.1150 -2.2140,-20.4440 -1.9290,-20.7970 -1.6790,-21.1750
l 464 [1800] -1.2800,-22.0550 -1.0890,-22.4470 -0.4780,-22.0270
l 464 [] -0.9110,-21.1400 -1.1530,-21.3270 -1.4620,-21.5780 -1.3750,-21.8070 -0.9550,-21.8380
l 464 [] -0.1920,-20.6180 -0.5180,-20.8470 -0.8380,-21.0830 -0.9110,-21.1400 -0.9140,-21.1930 -0.1630,-21.4230 -0.1190,-20.7220
l 464 [] -1.0890,-22.4470 -1.0580,-22.5100 -0.9110,-22.7530 -0.2550,-22.3020 -0.3250,-22.0220 -0.4780,-22.0270
l 464 [] -0.9140,-21.1930 -0.9550,-21.8380 -0.1920,-21.8950 -0.1630,-21.4230
l 464 [] -0.7960,-22.9440 -0.4950,-23.3560 -0.2170,-22.9570 -0.1190,-22.8440
l 464 [] 0.0990,-22.5940 0.4530,-22.2690 0.8450,-21.9810
l 464 [] 0.8380,-21.9720 0.5720,-21.6500 0.3090,-21.3130 0.0540,-20.9690
l 465 [1756, 3856] -13.1580,-19.1870 -13.4030,-19.6110 -13.2010,-19.6740 -12.6120,-19.8510 -12.5840,-19.4120
l 465 [2062] -12.5610,-19.0640 -12.8040,-18.5740 -13.1580,-19.1870 -12.5840,-19.4120
l 465 [2100, 3083] -12.8050,-18.5710 -13.0310,-18.0700 -13.3580,-18.3860 -13.5970,-18.6080 -13.2570,-18.9930
l 465 [] -12.0200,-20.0200 -12.3000,-19.5460 -12.3410,-19.4710 -12.5680,-19.8640
l 465 [] -13.6910,-18.6960 -14.0290,-19.0000 -14.3730,-19.2980 -13.7880,-19.4900
l 466 [1334, 1786] -11.7640,-22.1490 -11.4360,-22.5710 -11.0900,-22.9800 -10.9580,-22.4940 -10.7940,-22.0210 -10.5970,-21.5610
l 466 [1783, 1829] -11.2350,-20.6280 -11.6380,-20.3400 -12.0200,-20.0200 -12.1270,-20.3270 -12.2210,-20.6370 -12.3030,-20.9510
l 466 [] -12.3510,-21.1770 -12.3710,-21.2680 -12.0760,-21.7150 -11.9170,-21.9360
l 466 [] -10.3680,-21.1130 -10.8120,-20.8860 -10.9350,-20.8110 -10.7740,-21.4010 -10.4340,-21.2410
l 466 [] -11.2110,-20.6430 -11.4920,-20.7740 -11.2600,-21.6280
l 467 [1643, 1661] -12.3030,-20.9510 -12.2210,-20.6370 -12.1270,-20.3270 -12.0200,-20.0200 -12.6120,-19.8510 -12.7540,-19.8080
l 467 [1646] -13.4230,-20.9790 -13.5600,-21.1720 -13.1010,-21.6250 -12.8500,-21.2730
l 467 [1649, 1656] -12.5710,-20.8810 -13.0310,-20.4280 -13.4230,-20.9790 -12.8500,-21.2730
l 467 [] -13.7950,-21.2670 -13.6550,-21.9380 -13.3230,-21.7920
